Identifier,ground_truth,prediction,confidence,chosen_text,chosen_source
UM-1963-08-20-01-10-Column-46-10,تيدق لاهير، مک ککاچوان,تڠسل لاعس، مك کنجوان,0.5716075820890255,تيدق لاهير، مک ککاچوان,GT
0008_warmal_19380526_0002_102,ببراف باڽق حکاية٢ بارڠکالي تله هيلڠ,براف باڤ حکاية٢ بارڠکالي تله هيلڠ,0.8814253127870587,ببراف باڽق حکاية٢ بارڠکالي تله هيلڠ,GT
WM-1933-08-02-0003_14_Column-14-11,دان ڤڠاول تله دتمڤتکن دتلوق بياس,دان فڠاول تله دتمفيکن دتلوڤ بياس,0.7978415114392068,دان ڤڠاول تله دتمڤتکن دتلوق بياس,GT
0005_warmal_19380420_0001_84,(138) ڤونچا کجيأن ايت ايله بربنتوان٢,(138) ڤونچا کجيأن ايت ايله بربنتوڽ٢,0.8647407950215615,(138) ڤونچا کجيأن ايت ايله بربنتوان٢,GT
UM-1963-08-16-02-16-Column-17-3,الجيرس 15 اوݢس ة - دڠن رسمي نݢري الجيريا سمالم تله منوده,الجيرس 15 اوكس ء - دڠن رسمي نڬري | Aljerbia Salmal Tله منود,0.715696504437079,الجيرس 15 اوݢس ة - دڠن رسمي نݢري الجيريا سمالم تله منوده,GT
WM-1933-08-02-0003_16_Column-16-28,ڤڠير يڠ٢ڽ ادله براڠکت کڤولو ڤينڠ,فشيريڠ٢ن ادله برڠکت کڤولو فيڠ,0.8167495429130656,ڤڠير يڠ٢ڽ ادله براڠکت کڤولو ڤينڠ,GT
WM-1933-08-02-0007_39_Column-37-57,ڤکرجأن انچي ءعبد الجليل دڠن بهاس,فکرجأن انچي عبد الجليل دڠن بهاس,0.8760743498262039,ڤکرجأن انچي ءعبد الجليل دڠن بهاس,GT
UM-1963-08-24-10-13-Column-64-17,دري انم اورڠ وانيتا دان امفة,Riz i M uergen i Dan a Meq ,0.27532900994028686,دري انم اورڠ وانيتا دان امفة,GT
WM-1933-08-02-0004_25_Column-24-41,رديري بتول ددالم ڤهڠ دان کيت,زديري بتول ددالم ئهڠ ذان کيت ,0.7501224765661134,رديري بتول ددالم ڤهڠ دان کيت,GT
0004_warmal_19380301_0002_36,مک کتوا فلاين يڠ توا ايت فون,مك كنتا فلاين يڠ تواليت فوز,0.8501611226321203,مک کتوا فلاين يڠ توا ايت فون,GT
0001_warmal_19380105_0001_20,چوب کامو فيکر جکلو سوات,جوب کمو فيکر جکلو سوات,0.9193804942720425,جوب کمو فيکر جکلو سوات,PRED
UM-1963-08-14-04-26-Column-5-18,فرسکتوان ملنچرکن رنچاڠن٢ فمباڠونن لوار,Merskan melnjar KEN Rنجأن ٢ فمبڠولن لوار,0.47532532976033687,فرسکتوان ملنچرکن رنچاڠن٢ فمباڠونن لوار,GT
UM-1963-08-16-02-24-Column-18-59,"""فردان منتري بن بينلا","""فورد منتري بن بينلا""",0.46752519777746937,"""فردان منتري بن بينلا",GT
0001_warmal_19380105_0001_45,سبدا نبي صلى الله عليه وسلم مک,ستبدا نبي صلى الله عليه وسلم مك,0.7492948723448736,سبدا نبي صلى الله عليه وسلم مک,GT
0002_warmal_19380105_0002_70,ممفوڽأي موتوربس ايت اکن,مڠوڽأي موتوربس ايت اکن,0.8352882350146305,ممفوڽأي موتوربس ايت اکن,GT
UM-1963-08-14-08-9-Column-13-42,جواتنکواس چواڠن اين ترماسوق کتوا دان ستياوسهاڽ يڠ کاله,جوانتکواس بچوان اين ترماسوك کنوا دان ستيوسبان يڠ کاله,0.6543355410069402,جواتنکواس چواڠن اين ترماسوق کتوا دان ستياوسهاڽ يڠ کاله,GT
UM-1963-08-14-05-25-Column-7-6,فردباتن ايت تيمبول کتيک,فردينات ايت تيمول کنتيك,0.6223176183725041,فردباتن ايت تيمبول کتيک,GT
UM-1963-08-17-06-23-Column-41-1,براوچف دالم کوڠݢريس,بروفف دالم کونکرسس,0.4954574608460612,براوچف دالم کوڠݢريس,GT
0010_warmal_19380527_0002_86,مڠݢمبرکن حال احوال ملايو جاتي,مڠݢمبرکن حال احوال ملايو جاتي,0.9860817126087261,مڠݢمبرکن حال احوال ملايو جاتي,PRED
0010_warmal_19380527_0002_38,شيخ انو کات امام انو.,شيخ انو کات امام انو. ,0.8960771889353275,شيخ انو کات امام انو.,GT
0010_warmal_19380527_0002_132,بايک سرت براس سݢر دان قوة. جاڠنله,بايك سرت براس سݢerdan قوة جاڠله,0.8192942713276883,بايک سرت براس سݢر دان قوة. جاڠنله,GT
0010_warmal_19380527_0002_41,ملايو - فرکتأنڽ سهاج ملايو،,ملايو - فکتأڽ سهاج ملايو  ,0.7970241099286682,ملايو - فرکتأنڽ سهاج ملايو،,GT
UM-1963-08-23-08-23-Column-55-17,7.50 هيبوران سارافن، 8.15,8.15 7.50 هيمون سارفن,0.7276134439294736,7.50 هيبوران سارافن، 8.15,GT
UM-1963-08-14-06-5-Column-9-0,(فرايکاتن تمرلوه) مننتڠ,مڽفلاکيتس تعلوره) مڠنته,0.4924276384004386,(فرايکاتن تمرلوه) مننتڠ,GT
UM-1963-08-17-03-28-Column-36-1,تامن کالڠ کاواسن فراوسهأن,نامن کالڠ کاوسن فراوسهن,0.7300739339496187,تامن کالڠ کاواسن فراوسهأن,GT
WM-1933-08-02-0003_11_Column-11-28,ميس سولوچانا,ميس سولوجانا,0.8871546792011874,ميس سولوچانا,GT
UM-1963-08-14-04-37-Column-6-33,همفير ساتو جوتا رڠݢية دان,همسر ساتو زتاكيا دن,0.5294640992910508,همفير ساتو جوتا رڠݢية دان,GT
0008_warmal_19380526_0002_101,ملايو بتول ايسيڽ. نماڽ فون داݢغ،,ملايو بتول ايسيڽ. نماڽ فون داݢڠ، ,0.9283602430296761,ملايو بتول ايسيڽ. نماڽ فون داݢڠ، ,PRED
