Identifier,ground_truth,prediction,confidence,chosen_text,chosen_source
1933-05-18_377_23,کمودين تله تياد برحاصيل اڤابيلا,کمودين تله تياد برحاصيل اڤابيلا,0.9476315767668585,کمودين تله تياد برحاصيل اڤابيلا,PRED
1933-03-08_2611_22,سکيراڽ اد دلاکوکن هالا مڠمبيل,سکيراڽ اد دلاکوکن هالا مڠمبيل,0.998951373000529,سکيراڽ اد دلاکوکن هالا مڠمبيل,PRED
1933-05-02_239_7,-------------------------------------- بارڠ2 سأورڠ ڤنجاهت. ,بارڠ2 سأورڠ ڤنجاهت ,0.8487794952773988,بارڠ2 سأورڠ ڤنجاهت ,PRED
1937-12-09_1438_24,(ڤيهق يڠ برقواس يڠ منونجوققن,ڤيهق يڠ برقواس يڠ منونجووققن,0.8849969665569599,ڤيهق يڠ برقواس يڠ منونجووققن,PRED
1933-07-29_119_8,.هادڤن ڤڠاديل يڠ کتيݢ سمالم,هادڤن ڤڠکديل يڠ کتيݢ سمالم,0.9827776596442341,هادڤن ڤڠکديل يڠ کتيݢ سمالم,PRED
1937-03-24_1472_1,اورڠ لاݢي تله اوندور دري,اورڠ لاݢي تله اوندور دري,0.971796567989429,اورڠ لاݢي تله اوندور دري,PRED
1933-07-05_86_41,اي تله مڽمبوت دي ساوله2ڽا,اي تله مڽمبوت دي ساوله2ڽا,0.9964909489824726,اي تله مڽمبوت دي ساوله2ڽا,PRED
1940-04-04_1333_9,اه تواي ڤادي اتاو ݢندوم,اه تواي ڤادي اتاو ݢندوم,0.9854829054310851,اه تواي ڤادي اتاو ݢندوم,PRED
1933-02-28_2278_25,کالاو دڤوهونکن رهمة ايت دسمڤايکن,کالاو دڤوهونکن رهمة ايت دسمڤايکن,0.9736174054662166,کالاو دڤوهونکن رهمة ايت دسمڤايکن,PRED
1933-07-25_391_26,اتس قيت مڽنتوهڽ اڤابيلا اداله,اتس قيت مڽنتوهڽ اڤابيلا اداله,0.9970246884430727,اتس قيت مڽنتوهڽ اڤابيلا اداله,PRED
1933-07-05_80_22,بهاس ملايو اڤ اداکه توان,بهاس ملايو اڤ اداکه توان,0.9089652156522401,بهاس ملايو اڤ اداکه توان,PRED
1933-07-26_2767_1,إسلام ڤد هاري راي. ڤڠهابيسن,إسلام ڤد هاري راي ڤڠهابيسن,0.9962530784054522,إسلام ڤد هاري راي ڤڠهابيسن,PRED
1940-06-03_1388_32,.”کتاب يڠ تراتور دالم حديث,كتاب يڠ تراتور دالم حديث,0.9472966871460278,كتاب يڠ تراتور دالم حديث,PRED
1940-08-02_2265_9,تياد ديکو باءيق. مک دڠن,تياد ديکو باءيق مک دڠن,0.9938767711335854,تياد ديکو باءيق مک دڠن,PRED
1933-07-04_744_44,تيدق هيراوکن ڤون ڤرکارا ايت,تيدق هيراوکن ڤون ڤرکارا ايت,0.9932924489850208,تيدق هيراوکن ڤون ڤرکارا ايت,PRED
1936-09-29_2005_0,ݢمبر اين منونجوقکن ڤراتورن يڠ,ݢمبر اين منونجوقکن ڤراتوون يڠ,0.8921178239130715,ݢمبر اين منونجوقکن ڤراتوون يڠ,PRED
1937-03-09_985_10,ماکن انجيڠ ايت لاءين درڤد,ماکن انجيڠ ايت لاءين درڤد,0.9948019243376661,ماکن انجيڠ ايت لاءين درڤد,PRED
1940-08-08_1597_4,يڠ لاءين درڤد بهاس عرب,يڠ لاءين درڤد بهاس عرب,0.999132026342622,يڠ لاءين درڤد بهاس عرب,PRED
1933-03-08_2575_21,کران منجاݢ دان ممليهارا اݢام,کران منجاݢ دان مملبهارا اݢام,0.9916951494200672,کران منجاݢ دان مملبهارا اݢام,PRED
1933-06-27_2678_40,تڠه ايت مڠهاروسکن بردده دان,تڠه ايت مڠهاروسکن بردده دان,0.9221393329541379,تڠه ايت مڠهاروسکن بردده دان,PRED
1933-07-05_77_12,ايت تله برکمبڠن دڠن ڤادڠ,ايت تله برکمبڠن دڠن فادڠ,0.9890576866302844,ايت تله برکمبڠن دڠن فادڠ,PRED
1933-04-21_2334_3,بن حج أحمد تله مڠالهکن,بن حج أحمد تله مڠالهکن,0.9880640033353196,بن حج أحمد تله مڠالهکن,PRED
1940-03-30_726_56,رنچان2 اين دڠن تياد تاکوتکن,رنچان2 اين دڠن تياد تاکوتکن,0.9711536376484438,رنچان2 اين دڠن تياد تاکوتکن,PRED
1933-07-26_2761_43,دالم ساتو ڤرجنجين يڠ مڽاتاكن,دالم ساتو ڤرجنجين يڠ مڽاتاکن,0.9929792150082959,دالم ساتو ڤرجنجين يڠ مڽاتاکن,PRED
1933-03-23_1524_17,.منداتڠكن كلمهن دان مرندهكن هيمه,منداتڠکن کلمهن دان مرندهکن هيمه,0.9929331936776745,منداتڠکن کلمهن دان مرندهکن هيمه,PRED
1941-01-08_818_60,يڠ کمنڠن مريک ڤد اخيرڽ,يڠ کمنڠن مريک ڤد اخيرڽ,0.9895777664224475,يڠ کمنڠن مريک ڤد اخيرڽ,PRED
1933-07-25_400_30,کڤد علماء2 سمڤاي دمکين ايت,کڤد علماء2 سمڤاي دمکين ايت,0.9980464199075892,کڤد علماء2 سمڤاي دمکين ايت,PRED
1940-09-05_1633_16,يڠ ساڠت ساي سايڠي يڠ,يڠ ساڠت ساي سايڠي يڠ,0.9428952207085762,يڠ ساڠت ساي سايڠي يڠ,PRED
1938-06-13-v2_1801_14,.برسيه ڤولا منوروت داره بڠساڽ,برسيه ڤولا منوروت داره بڠساڽ,0.998782956755726,برسيه ڤولا منوروت داره بڠساڽ,PRED
